id,mode,family,label,is_a0_value,n,ranking,gate,f1_yes,delta_ranking,delta_gate,delta_f1_yes,spec,confidence_score,variable_weight_score,important_decisive_factor_score,tool_score,section_grounding_score
S-TW-steep,honest,tier_weights,"sensibilidad, no ablacion",False,91,0.7607067167163322,0.8131868131868132,0.8547008547008547,0.0,0.0,0.0,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-TW-steep"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 4.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7905405405405406,0.8393893893893893,0.7668677418677419,0.865990990990991,0.8404118404118404
S-T-0.35,deployed,threshold,"sensibilidad, no ablacion",False,91,0.8064244018090172,0.8681318681318682,0.9,0.03260515346722248,0.04395604395604391,0.03103448275862064,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-T-0.35"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.35, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7721518987341772,0.8485700890764182,0.7713000080088688,0.8776371308016877,0.8423749246534057
S-T-0.40,deployed,threshold,"sensibilidad, no ablacion",False,91,0.8221536266801912,0.8901098901098901,0.9152542372881356,0.016875928596048473,0.02197802197802201,0.015780245470485066,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-T-0.40"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.4, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7654320987654321,0.8490169181527206,0.7697452753008309,0.8744855967078189,0.8427395649617871
S-T-0.45,deployed,threshold,"sensibilidad, no ablacion",True,91,0.8390295552762397,0.9120879120879121,0.9310344827586207,0.0,0.0,0.0,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-T-0.45"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7650602409638554,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
S-T-0.50,deployed,threshold,"sensibilidad, no ablacion",False,91,0.8203097160561735,0.8901098901098901,0.9122807017543859,0.018719839220066148,0.02197802197802201,0.01875378100423475,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-T-0.50"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.5, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7654320987654321,0.8498399634202103,0.771508943731166,0.8652263374485596,0.8430335097001764
S-T-0.55,deployed,threshold,"sensibilidad, no ablacion",False,91,0.8297261994858149,0.9010989010989011,0.918918918918919,0.009303355790424739,0.01098901098901095,0.012115563839701693,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-T-0.55"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.55, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7804878048780488,0.8496386630532973,0.7688753658265853,0.8699186991869918,0.8429152148664344
S-FM-1.0,deployed,fusion_mult,"sensibilidad, no ablacion",False,91,0.8307536142632297,0.9010989010989011,0.9230769230769231,0.00827594101300999,0.01098901098901095,0.007957559681697535,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.0, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-FM-1.0"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7621951219512195,0.8504516711833785,0.7725532597483817,0.8760162601626016,0.8429152148664344
S-FM-1.5,deployed,fusion_mult,"sensibilidad, no ablacion",True,91,0.8390295552762397,0.9120879120879121,0.9310344827586207,0.0,0.0,0.0,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-FM-1.5"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7650602409638554,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
S-FM-2.0,deployed,fusion_mult,"sensibilidad, no ablacion",False,91,0.8390295552762397,0.9120879120879121,0.9310344827586207,0.0,0.0,0.0,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 2.0, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-FM-2.0"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7650602409638554,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
S-TW-flat,deployed,tier_weights,"sensibilidad, no ablacion",False,91,0.8390295552762397,0.9120879120879121,0.9310344827586207,0.0,0.0,0.0,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-TW-flat"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 1.0], [""supports"", 1.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7650602409638554,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
S-TW-default,deployed,tier_weights,"sensibilidad, no ablacion",True,91,0.8390295552762397,0.9120879120879121,0.9310344827586207,0.0,0.0,0.0,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-TW-default"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7650602409638554,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
S-TW-steep,deployed,tier_weights,"sensibilidad, no ablacion",False,91,0.8390295552762397,0.9120879120879121,0.9310344827586207,0.0,0.0,0.0,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-TW-steep"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 4.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7650602409638554,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
