arm,baseline,variant,delta,n,resamples,verdict_n,ci_low,ci_high,pass_1,pass_2,pass_3,delta_n
L0,0.7959459459459459,0.7959459459459459,0.0,74,10000,SOBRA,0.0,0.0,0.7959459459459459,0.7959459459459459,0.7959459459459459,0.03
L1,0.7959459459459459,0.8256756756756757,-0.02972972972972972,74,10000,INDETERMINADA_N,-0.06756756756756753,0.008108108108108119,0.8256756756756757,0.8256756756756757,0.8256756756756757,0.03
L2,0.7959459459459459,0.8067567567567568,-0.010810810810810801,74,10000,INDETERMINADA_N,-0.0472972972972973,0.02837837837837839,0.8067567567567568,0.8067567567567568,0.8067567567567568,0.03
L3,0.7959459459459459,0.7963963963963964,-0.00045045045045043387,74,10000,SOBRA_N,-0.011261261261261243,0.010360360360360388,0.7972972972972973,0.7959459459459459,0.7959459459459459,0.03
L4,0.7959459459459459,0.8135135135135135,-0.017567567567567558,74,10000,INDETERMINADA_N,-0.0527027027027027,0.018918918918918892,0.8135135135135135,0.8135135135135135,0.8135135135135135,0.03
L5,0.7959459459459459,0.7702702702702703,0.025675675675675698,74,10000,INDETERMINADA_N,-0.016216216216216175,0.06891891891891894,0.7702702702702703,0.7702702702702703,0.7702702702702703,0.03
L6,0.7959459459459459,0.7972972972972973,-0.001351351351351355,74,10000,SOBRA_N,-0.012162162162162168,0.008108108108108103,0.7972972972972973,0.7972972972972973,0.7972972972972973,0.03
L7,0.7959459459459459,0.7518018018018018,0.04414414414414416,74,10000,NECESARIA_N,0.02882882882882884,0.060360360360360375,0.6743243243243243,0.7905405405405406,0.7905405405405406,0.03
L0p,0.7959459459459459,0.7959459459459459,0.0,74,10000,SOBRA_N,0.0,0.0,0.7959459459459459,0.7959459459459459,0.7959459459459459,0.03
