predictor,n,cv_auc,ci_lo,ci_hi
linear_probe_pca4,89,0.38677248677248677,0.2669805597497843,0.5000262054507337
linear_probe_pca8,89,0.44603174603174606,0.31296049681642907,0.5840101528051411
linear_probe_pca16,89,0.4158730158730159,0.2972445436096831,0.5440296656973468
linear_probe_pca32,89,0.4444444444444445,0.32647338900954026,0.5759475163151634
linear_probe_pca64,89,0.4433862433862434,0.3208032974739821,0.5734161556212556
cspca_scalar_from_prompt,89,0.5603174603174603,0.43256245554765294,0.6989941371285356
