removed,removed_name,n_features,cv_auc,delta_auc,ci_lo,ci_hi,p_value
(none),conjunto completo,102,0.7862244897959184,0.0,,,
A,structured,63,0.7816326530612244,-0.004591836734693988,-0.045545678093347614,0.03613583591331262,0.812
B,labs,85,0.7770408163265307,-0.009183673469387754,-0.04450114955140376,0.02219435142478043,0.544
C,psa_trend,83,0.7826530612244899,-0.0035714285714285587,-0.028572185230024333,0.017757904172099062,0.872
D,radiology_nlp,83,0.7561224489795919,-0.030102040816326503,-0.08536090067340062,0.01203090899862957,0.188
E,notes,94,0.7897959183673469,0.0035714285714284477,-0.01989833925642417,0.030617576184078784,0.772
