feature_set,n_features,model,cv_repeats,cv_splits,cv_auc,cv_ap,cv_accuracy,cv_balanced_accuracy,cv_f1,cv_sensitivity,cv_specificity,cv_ppv,cv_npv,cv_brier,cv_ece,cv_auc_sd_across_repeats,oof_std_across_repeats
ABCDE_all_text,102,extra_trees,10,5,0.7862244897959184,0.8752023736052195,0.6813186813186813,0.6339285714285714,0.7642276422764228,0.8392857142857143,0.42857142857142855,0.7014925373134329,0.625,0.18149358640660956,0.12142462273878248,0.019470085663271013,0.044548590882403115
ABCDE_all_text,102,random_forest,10,5,0.7408163265306122,0.8158966672083573,0.7362637362637363,0.6839285714285714,0.8095238095238095,0.9107142857142857,0.45714285714285713,0.7285714285714285,0.7619047619047619,0.20492702753455214,0.10464811514465937,0.03656722028447897,0.04935387672461742
ABCDE_all_text,102,random_forest_calibrated,10,5,0.7321428571428572,0.8108628307000404,0.6703296703296703,0.6517857142857142,0.7321428571428571,0.7321428571428571,0.5714285714285714,0.7321428571428571,0.5714285714285714,0.2035511433275811,0.05073211134023279,0.04700270851190628,0.09917196537685909
ABCDE_all_text,102,decision_tree,10,5,0.7193877551020408,0.8335460474521871,0.6813186813186813,0.6607142857142857,0.7433628318584071,0.75,0.5714285714285714,0.7368421052631579,0.5882352941176471,0.20459869602644026,0.1173518736993499,0.06298446140260121,0.2702019896307521
ABCDE_all_text,102,deep_ensemble_mlp,10,5,0.7158163265306122,0.8258298426826053,0.6153846153846154,0.5696428571428571,0.7107438016528925,0.7678571428571429,0.37142857142857144,0.6615384615384615,0.5,0.21648563996305056,0.1368673094974812,0.024251658938434232,0.08734804094822994
ABCDE_all_text,102,grad_boosting,10,5,0.7153061224489795,0.7860399326783174,0.6813186813186813,0.6446428571428572,0.7563025210084033,0.8035714285714286,0.4857142857142857,0.7142857142857143,0.6071428571428571,0.21469369560235835,0.12550142162872818,0.024139124127012655,0.16841239545722927
ABCDE_all_text,102,logreg_l1,10,5,0.7005102040816327,0.8190020616821173,0.6263736263736264,0.6,0.7017543859649122,0.7142857142857143,0.4857142857142857,0.6896551724137931,0.5151515151515151,0.225717116103809,0.13025765825449637,0.03164104562794693,0.12798356108771244
ABCDE_all_text,102,lda,10,5,0.6994897959183674,0.8217985160414781,0.5824175824175825,0.5375,0.6833333333333333,0.7321428571428571,0.34285714285714286,0.640625,0.4444444444444444,0.2775878666172997,0.2687954118474144,0.031471776557737016,0.13204782196895945
ABCDE_all_text,102,svm_rbf,10,5,0.6831632653061225,0.7686385839693095,0.6263736263736264,0.5410714285714285,0.75,0.9107142857142857,0.17142857142857143,0.6375,0.5454545454545454,0.21948444507123735,0.07051458303697526,0.040308390855826645,0.042843287234341214
ABCDE_all_text,102,logreg_l2,10,5,0.6790816326530611,0.7743347175240589,0.6263736263736264,0.5839285714285715,0.7166666666666667,0.7678571428571429,0.4,0.671875,0.5185185185185185,0.26741183389126133,0.24397050883605526,0.03132025630180086,0.15635054987152253
ABCDE_all_text,102,logreg_elasticnet,10,5,0.675,0.8013530045593288,0.5604395604395604,0.5196428571428571,0.6610169491525424,0.6964285714285714,0.34285714285714286,0.6290322580645161,0.41379310344827586,0.24788010395650725,0.2171346232634203,0.03289566286865961,0.1321212458639036
ABCDE_all_text,102,knn_probabilistic,10,5,0.6459183673469389,0.7889908652157965,0.5824175824175825,0.49464285714285716,0.7205882352941176,0.875,0.11428571428571428,0.6125,0.36363636363636365,0.22891787133568664,0.10168104883076295,0.032879318160238924,0.018862300379035628
ABCDE_all_text,102,knn,10,5,0.6459183673469387,0.7695579076374511,0.5824175824175825,0.49464285714285716,0.7205882352941176,0.875,0.11428571428571428,0.6125,0.36363636363636365,0.22544063794735866,0.09928999053514738,0.035900716036197704,0.0503201410720955
